playerAn,playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop_0.thisRepN,sbLoop_0.thisTrialN,sbLoop_0.thisN,sbLoop_0.thisIndex,sliders_0.thisRepN,sliders_0.thisTrialN,sliders_0.thisN,sliders_0.thisIndex,buffer_0.thisRepN,buffer_0.thisTrialN,buffer_0.thisN,buffer_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sbLoop_1.thisRepN,sbLoop_1.thisTrialN,sbLoop_1.thisN,sbLoop_1.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,buffer_1.thisRepN,buffer_1.thisTrialN,buffer_1.thisN,buffer_1.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_12.started,cB_12.stopped,textInstructions_2.started,textInstructions_2.stopped,keyInstructions_2.keys,keyInstructions_2.started,keyInstructions_2.stopped,out_3.keys,out_3.rt,out_3.started,out_3.stopped,cB.started,cB.stopped,typedWord,displayText.started,displayText.stopped,copyText.started,copyText.stopped,out.keys,out.started,out.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbChoice.response,sbChoice.rt,sbChoice.history,sbChoice.started,sbChoice.stopped,text_6.started,text_6.stopped,cB_9.started,cB_9.stopped,text_7.started,text_7.stopped,totalMoney,paulMoney,lukasMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,text_8.started,text_8.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,3,How much do you like Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.73670710006263,None,6,0.944,0.01690799999050796,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,4,How much do you want to continue playing with Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.73053709999658,None,6,0.923,0.01575390005018562,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,5,How do you feel?,negative,positive,1 2 3 4 5 6 7,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.70195470005274,None,6,0.909,0.0031279000686481595,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,6,How activated are you right now?,low,high,1 2 3 4 5 6 7,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65740040002856,None,6,0.859,0.005657500005327165,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52593560004607,None,100.52593560004607,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.53171859995928,101.53171859995928,101.53171859995928,101.53171859995928,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.54112189996522,105.54112189996522,105.54112189996522,105.54112189996522,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.54709590005223,106.54709590005223,106.54709590005223,106.54709590005223,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.61474880005699,None,109.61474880005699,None,109.61474880005699,None,6,0.916,"[('5', 0.0), ('6', 0.609), ('6', 0.916)]",0.006456799921579659,None,109.61474880005699,None,110.53838540003635,None,110.53838540003635,None,40,12,28,110.5716689999681,None,110.5716689999681,None,None,110.5716689999681,None,115.5470142000122,None,115.71860070002731,116.31764030002523,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.57384760002606,None,116.57384760002606,None,116.57384760002606,None,7,0.921,"[('5', 0.0), ('6', 0.429), ('7', 0.718), ('7', 0.921)]",0.01439209992531687,None,116.57384760002606,None,117.51059990003705,None,117.51059990003705,None,40,12,28,118.53610460006166,None,118.53610460006166,None,None,118.53610460006166,None,123.52404170006048,None,123.69574300001841,124.30843430000823,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
